Category,ModelName,FilePath,FileType,FileSize
Generic,clover_body_solid,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Clover\clover-master\clover_description\meshes\clover4\clover_body_solid.dae,.dae,8219.48 KB
Generic,clover_guards_transparent,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Clover\clover-master\clover_description\meshes\clover4\clover_guards_transparent.dae,.dae,1497.01 KB
Generic,prop_ccw,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Clover\clover-master\clover_description\meshes\clover4\prop_ccw.dae,.dae,315.61 KB
Generic,prop_cw,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Clover\clover-master\clover_description\meshes\clover4\prop_cw.dae,.dae,316.88 KB
Generic,apartment,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\apartment\meshes\apartment.dae,.dae,752.94 KB
Generic,arm,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\arm_part\meshes\arm.dae,.dae,35.21 KB
Generic,asus_xtion_pro_camera,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\asus_xtion_pro_camera\meshes\asus_xtion_pro_camera.dae,.dae,321.22 KB
Generic,bin_4_dropping_task,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\bin_4_dropping_task\meshes\bin_4_dropping_task.dae,.dae,83.32 KB
Generic,bowl,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\bowl\meshes\bowl.dae,.dae,504.2 KB
Generic,mesh,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\box_target_green\meshes\mesh.dae,.dae,9.52 KB
Generic,mesh,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\box_target_red\meshes\mesh.dae,.dae,5.83 KB
Generic,simple_box,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\brick_box_3x1x3\meshes\simple_box.dae,.dae,6.65 KB
Generic,base_link,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\bus_stop\meshes\base_link.dae,.dae,779.8 KB
Generic,bench,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\bus_stop\meshes\bench.dae,.dae,7.95 KB
Generic,head,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\bus_stop\meshes\head.dae,.dae,12.59 KB
Generic,round,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\bus_stop\meshes\round.dae,.dae,147.87 KB
Generic,cafe,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cafe\meshes\cafe.dae,.dae,1828.53 KB
Generic,cafe_table,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cafe_table\meshes\cafe_table.dae,.dae,18.34 KB
Generic,body,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\body.dae,.dae,766.57 KB
Generic,cessna_front_wheel,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\cessna_front_wheel.dae,.dae,17.18 KB
Generic,cessna_prop,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\cessna_prop.dae,.dae,42.2 KB
Generic,cessna_rear_left_wheel,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\cessna_rear_left_wheel.dae,.dae,18.02 KB
Generic,cessna_rear_right_wheel,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\cessna_rear_right_wheel.dae,.dae,18.01 KB
Generic,elevators,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\elevators.dae,.dae,12.98 KB
Generic,left_aileron,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\left_aileron.dae,.dae,7.28 KB
Generic,left_flap,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\left_flap.dae,.dae,6.75 KB
Generic,right_aileron,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\right_aileron.dae,.dae,7.29 KB
Generic,right_flap,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\right_flap.dae,.dae,8.98 KB
Generic,rudder,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cessna\meshes\rudder.dae,.dae,17.12 KB
Generic,cinder_block,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cinder_block\meshes\cinder_block.dae,.dae,15.19 KB
